Fp1,Fp2,F7,F3,Fz,F4,F8,FC5,FC1,FC2,FC6,Frequência
(143.96146831248868+150.15032055438485j),(-146.69876284491806+232.08561651154514j),(237.87125027941144+1134.5244380827749j),(-66.29157721679951-728.7236952173287j),(-152.74799415338381+33.07971370435857j),(270.6238689668763-240.01165822007124j),(6.6649316144711666+40.81729489191734j),(440.64643882889254+96.93619849309835j),(44.82654170468422-455.36495053045485j),(-56.4042285919511+99.96803968821575j),(-352.56585397974175-19.939422662618522j),1.6
(127.500582401271+373.13378504742946j),(115.16161413996683+21.070041155103542j),(657.524294673716-399.3802229467492j),(-20.380595864545345-478.5947650152707j),(-282.26684465897563-84.39274354750086j),(283.4408251165997-32.82500220622795j),(-11.672702857059727-250.41251555189717j),(95.1364957795484-643.9751258460602j),(136.3670661932141+190.44093163510206j),(224.3427467943432+183.1003616031289j),(-32.879790217694946-42.020783921515886j),1.7000000000000002
(-38.17277496520343+79.47916501992859j),(194.80708649712335-160.10833884139822j),(-331.51981180475786-73.78301807256747j),(-119.8363129538784-984.4496222282451j),(52.14653507862411+108.40030515025256j),(25.293764719956908-539.848003148491j),(-282.25234268668873+526.7452349253515j),(-23.211285463752326-854.5541442900255j),(-219.33654930356744-158.2146823019847j),(82.97937036560799+72.34480445175419j),(-175.16116751549228-249.07317656665063j),1.8
(-116.92534646181063+184.09065791452673j),(198.35496867124095+0.9503501402450176j),(-590.3096702379058-548.2766016853799j),(-87.2701066000508-135.00371682661245j),(-50.15372484724945+188.76509363447406j),(-264.7637630136909-87.47027738995183j),(176.56502891434246+565.170743618432j),(-277.2315132251154-336.81391227882364j),(288.64017800583343+60.75070845566867j),(-221.972322838707+195.49041850509593j),(-230.80338738665515+106.64682266366813j),1.9000000000000001
(-238.7654615706686-22698.68283496345j),(-140.20845837024382-76.78812560358895j),(-28.840345856071394-285.0738230528906j),(-196.98769897412592-203.9181091192239j),(-10.146376964088603+205.8236685666041j),(45.73003049672898-22445.720492978042j),(372.33276026745534-243.28697203972575j),(-95.07842188911414-462.9205812754135j),(-66.4902993014924-420.79332568297167j),(-200.90795322810328+276.63564631207737j),(353.62602883833864-22836.1466692061j),2.0
(10.986745128459305-313.3533166622602j),(414.0781361748616-262.3379923496297j),(-401.831149509292+508.9211577910295j),(277.56426597293455-692.3067273122839j),(-61.054635702553-252.59434765414153j),(-20.880401203442567-544.0614063346796j),(367.6764355921356-104.24965415201706j),(4.080428793804877-1162.7000130391052j),(13.796733950709676+101.72020394404286j),(22.202305587095466+71.82209428340967j),(-150.18051143647045-49.4561757369826j),2.1
(-223.54849781384428-412.55106430041155j),(446.5656032400722+560.9992070800752j),(-113.69226653649223-271.0969298020816j),(-52.732669465871595-149.1114347115744j),(89.01293111954381-44.4009290346074j),(102.22599209015917+525.0870523125448j),(555.1845181571896-250.28885030915328j),(-524.7137946230321-216.40083658786983j),(-32.560165581012136+48.00444543996913j),(-91.28018224029496+6.717550733339003j),(-164.90061626372454-123.72990081384586j),2.2
(429.83561659980717-575.7733843993068j),(25.10641863363482-272.57226919626044j),(591.934720079018-204.93230006838948j),(-204.41555608071891-315.14951822943357j),(98.67156644465007-309.30133877286323j),(370.67801460738724-22.40710120553068j),(-30.277073230161797+290.36886845575066j),(1126.186154721429-81.51300108036148j),(132.81881188286349-267.06905162732465j),(244.07448468234827-172.86130573419277j),(-224.4732777245776-27.792872775023845j),2.3000000000000003
(288.22953625327983+72.74406671339544j),(411.9258453390979+352.0408384087351j),(752.9805349957376-579.6272350020147j),(17.591220105833102-399.2916341247913j),(-32.07110954006893-215.61577489930363j),(-302.6285829970624+164.94836898814452j),(-134.77968894209005-119.78642705568117j),(-245.52258658180898+306.4670044744047j),(-161.80657349125636-107.7490581956153j),(-3.5380163142693952-319.70156613822314j),(91.70154128256453+82.16096011550238j),2.4000000000000004
(-51.682789095754956+50.61369551437711j),(8.050914112410492+363.74430018664657j),(5.642451035720711+706.1937577491224j),(-117.97115533809958-240.40600427507167j),(204.3657030577112+108.8180373507568j),(-235.6663743135232-398.3504465003879j),(377.6894789723714+45.082144218923645j),(43.34580418175216-625.052981522196j),(21.285090608719898-317.49388511596914j),(131.7773997009013-21.498960529402872j),(-153.12667951855641+268.20377938930477j),2.5
(60.26629847138243+355.3973119638064j),(187.76806462459058-296.87582008927313j),(-416.33603072688766+1364.8405808898751j),(-606.7023737385728-371.37810464719024j),(-29.70048183513344-111.41042455140432j),(-110.7570905162467+231.37558593777396j),(113.2397697046514-30.66031792195604j),(140.0120200897489+247.56520839238993j),(-220.0787100569131-121.61972232644402j),(-504.20466766859835-139.95964467677473j),(62.30782755396103+170.16203301924543j),2.6
(349.0663981087613-392.9236157062909j),(-62.566302098921525+101.33167536741038j),(487.7845924610728+1193.6975326698248j),(-246.00286264306652-522.8032432819332j),(252.15767563578166+32.93973741882104j),(-121.26351909368455-207.24199407297925j),(222.31497112853546+296.12081984096733j),(-551.9776070094732-678.9509688691227j),(-15.301583690635745+478.2748422448234j),(447.1387116765736+59.043360416449175j),(-262.6367896880259+172.00217399085426j),2.7
(130.736529227123+596.2005482768557j),(405.37865033643243+157.18908685379887j),(15.28330678301218+432.6605911398726j),(-262.31453416576255-578.4942456038762j),(-88.52036020955543-83.56223672894828j),(-113.19492598633467-128.90002150449655j),(-62.45317665758723-181.36002605685115j),(-492.46066692051977-682.5837665829588j),(-48.14588757240259+195.11647870938836j),(135.64502524782952+219.6565502651514j),(-137.53580289017188-290.375269412674j),2.8000000000000003
(63.16423984738848-232.66859273986887j),(242.86884038559643-304.35408538429965j),(69.65101549329017+575.6292521230404j),(-218.7873565533572-89.22098074030306j),(-140.96990799934437-77.73936626151631j),(73.28650814836355+234.3653488979878j),(-144.9830601515425+45.228375589767296j),(505.80463564370814-262.9974502389882j),(-231.6899418547648+141.44755903818032j),(-57.292117333944894-224.23509011083814j),(-397.4724594821861-264.1023530822555j),2.9000000000000004
(240.54629054801566+208.5217851348911j),(-101.20761834689897+238.31509947666575j),(184.692253647025-463.56459276510657j),(-171.5194751779806-463.7224864569097j),(-47.46305974541734+6.749796214533557j),(-42.504314338042455+20.798711658557732j),(-536.9052078657407-134.5151074265322j),(-308.37170284769945-339.38118340454923j),(341.93279799539044+211.3925129897022j),(-42.58225739137706-257.95650560708174j),(-106.9857599930775+301.8772505043107j),3.0
(-271.5288957402191-128.68447700086412j),(3.9178280276602635-455.25921998827295j),(-126.79549349348778+486.22898950594526j),(497.4786319487395+25.428470662743123j),(111.64623992687886-44.179583206087685j),(-179.5224482844781+131.70538003397144j),(35.934338452185976-189.8560352878248j),(-334.6538548567799+172.58876179379996j),(-115.57327074226185+178.49382655611942j),(93.31788945979113+118.90425467128384j),(-219.8950730106803-144.8929732834883j),3.1
(-173.59495346664994-550.2617133927668j),(-412.2436981516314+162.8481485572971j),(-17.820313239553457+90.96920364930665j),(130.81007794121467-717.1359608235978j),(5.3975013772654155-24.446002562976837j),(-604.0849770633049-270.77500698925843j),(127.14406684883346+142.37552574377926j),(-438.56981669937005-28.8362626243203j),(-131.42258795666731-19.31747794222133j),(-31.02696709346799-133.88726267128442j),(-93.35656314250295+35.90439129739294j),3.2
(-188.3569548993852-10.081801295516932j),(-47.31637641514488-180.32115274588512j),(254.44600318985223-184.09781988147256j),(26.738980150023103-37.52539596310056j),(167.63661790598934-258.7767428064982j),(340.13366411486993-486.9373374008389j),(-13.801357301413134-58.71244453503424j),(-151.5758151644148+852.6788902622931j),(-327.61576347525744-155.224007807301j),(150.39734821305316-208.03043401364152j),(-343.2924913402035+503.73456812414577j),3.3000000000000003
(-123.802945115802-341.12004853529436j),(-297.4917497821025+491.63437387220256j),(-371.7392012787326+58.110894548720545j),(19.976029395250585-219.1532069739465j),(-272.12204971063943+58.06526998795128j),(295.2939940218104-223.6578700611119j),(151.8391220207333+513.8433760167577j),(267.1759333364812-577.2256553914433j),(594.3477888904565+15.890904750053295j),(-268.7618986882746-44.66536212730843j),(-7.579028637488397+191.3998730927322j),3.4000000000000004
(53.83818211705114+245.52640129944555j),(-184.98135934827792+409.1587787342854j),(-449.252675525218+893.9001592143298j),(-45.30014829884858+184.66846114503124j),(184.38328797550713+8.435057094187737j),(460.7800161371681+416.3540741573031j),(-432.12604041191537+90.54839323615906j),(-617.4687806732181-448.4618989866702j),(66.64473400931412-341.0129046150514j),(-264.94353965335233+156.0360402313522j),(17.72267102570909-143.1351713417903j),3.5
(507.4898801430329+1.8647084024528446j),(-132.61481479927355+252.05017848956425j),(-599.3337878565175+961.9417874622607j),(-73.05918371196302-16.341512496400494j),(68.5322368757481-12.389455705508201j),(212.14866542434905+155.86726473797992j),(-213.6685915646216-107.07971978746099j),(321.81662639264636-177.89280821488325j),(-247.16305906818752+78.39717708923588j),(-25.96857042375781-104.2569385407129j),(360.6987288406458+275.4176199476109j),3.6
(-418.4215192728294-196.12991909261137j),(-61.62685483671458+57.69944831350364j),(339.1809434721106+119.67278210330957j),(-87.55513402155721-157.63237407824388j),(-402.3146135670828-467.09687112056685j),(132.91692119533212-126.26103553342713j),(526.0715184218649-276.18992151408065j),(-402.3757898596833-103.40972302386308j),(-280.8449520300268-375.17246741852216j),(-102.53523508366978+175.59747894989414j),(-25.139886810143977-397.7643711688026j),3.7
(168.5752159972565+12.520130262630467j),(305.5849624114817+124.22356775033744j),(498.3298561489245-617.3935951430274j),(-206.6551571632586-10.27639127903398j),(14.544426078549673-140.48533437614853j),(-65.87101241568934-140.8552045599701j),(251.8421801080205+488.3895904951472j),(-501.14571801798525-327.897160567481j),(-408.2300157588177+244.15945931070786j),(-109.2809525406999+190.31550780569387j),(-158.10698426736258+121.8779739279284j),3.8000000000000003
(-247.5237136664247-285.7298024691521j),(98.92611221475006-223.04882645592363j),(370.42096110270114+300.64661788213516j),(240.66638052976836-421.92182155645094j),(-87.76961725126948-151.80498544937518j),(448.0215825551958-101.21781188641827j),(-58.96098599341008-48.86043094162497j),(391.47761126507913-40.712745399076866j),(23.29507652085711+263.50691781295814j),(-138.76876924664754+616.27753719453j),(5.2648869851272995+397.79572641575794j),3.9000000000000004
(309.42960455020864+216.35864240225516j),(-223.32528443774694-205.78911013666124j),(352.382658679659+212.5604869168674j),(121.1318269865108+177.37426502020207j),(-173.72389895613566-201.33479909127504j),(-231.54694849817446+51.18399579714594j),(34.06130667485397-281.7611106999349j),(-923.2659076222423-253.52869825926712j),(42.02352845345557-119.5915973474845j),(-93.44245061127734+93.30406048046711j),(73.24229948979323-594.8800117116823j),4.0
(356.7448116749225-67.33237218562192j),(261.07570758799363+331.3546921071411j),(-1112.116897680531-231.25974179701709j),(31.59554624080284+152.08079556895004j),(-335.2387964791463+34.45364186125174j),(427.71476368946327+30.544662366408403j),(389.20305693990315+303.1275604612879j),(314.62892738395374+491.1963035378209j),(-131.08985608731732+58.99712635700651j),(234.67439755915066+256.08384145528487j),(-141.1849223860774+375.06739507925795j),4.1000000000000005
(121.28530935825803-492.5377434019531j),(-274.6691927899763-269.7191289187712j),(412.02670286097583+363.54879178227634j),(-80.23461494292154-361.8492158072012j),(-376.1535872565716-145.22050991797437j),(642.3481544855081-118.70964077860911j),(327.21487764779624+26.62900948949627j),(46.00068570976577+630.7602501654621j),(-37.385994003516316-515.4934067716679j),(85.56206402922867+5.729742579025342j),(183.86854667936524-33.388944341384295j),4.2
(-22.70905804419371+13.797097284315427j),(290.6252565050305+123.87046796797269j),(284.38762613959756+47.74585256008099j),(35.187435923930344-85.48954950246946j),(-77.89941522508215+129.87299567492906j),(-318.7689499625525-174.98966741932304j),(-230.20806775315828+9.512692715858126j),(-309.58150457088584+343.61423540125907j),(-135.18877130729473+21.704316008687787j),(-157.97902242442083-2.662967122403682j),(137.3806668860296+375.62678842779667j),4.3
(581.866592994278+137.3861092061786j),(211.29760850016606-77.61994727072022j),(-211.09227646995353+82.02258450425174j),(-13.779402555690485-0.5272101815735297j),(5.094798702126557+23.880521371942184j),(-118.5435552293133+370.0340586142303j),(134.51121718769747+194.80460262867538j),(99.46884661134303-278.9583084511443j),(-66.25684593516874-411.30326009352575j),(-366.9782623302573-376.92758100154214j),(220.36808364077422+68.18087852896089j),4.4
(493.63088763260157-139.14022874868402j),(111.02223612463453+360.056721922838j),(-491.3519182227507+306.7776767042179j),(-265.31138277333156-266.44255108204106j),(-135.14632128310865-13.128250415416936j),(-180.7197720328925-356.7383086591361j),(-82.2235773929574-325.7003033667962j),(-835.642043685105-59.654064040269105j),(-9.916721268425013+2.078227441594514j),(81.80694702666841+74.59005849057195j),(-819.7839180474043+100.96582429895979j),4.5
(273.65206497177303+44.82244487855851j),(143.78891677599654-330.7986485286888j),(223.64720553600483-7.865982115658955j),(-203.5156745088915+533.2066485828653j),(55.23987265881949-355.625667484626j),(108.85142849702481+3.948530520099986j),(262.5136844928418+21.250685686331472j),(-160.56346208624822+335.01527109578717j),(225.60798894517262-131.27002609017114j),(74.7160547025397-214.13514336740326j),(-137.6632872744048-168.3879126718307j),4.6000000000000005
(-58.29954085932598-19.639306895638455j),(230.088278284169+144.92255327421014j),(-209.40872232783056-205.38682068640304j),(-318.1972719479942-220.75313963798578j),(23.993663043790775+191.53760552558924j),(41.36586325524826-222.49003874716124j),(339.8306131354384+79.47717843352052j),(171.53681023989301+2.4865805883779544j),(-285.846817339521+419.4396719781013j),(33.31616287175+309.96735861582425j),(54.20641685977177+726.1025035276981j),4.7
(342.0161024222424-32.54060134105184j),(274.23105323445793-96.35346351393835j),(-53.99848878094139+225.95996366513074j),(-154.11754047421803+145.02987241383403j),(-598.7355745623638-203.40409532112324j),(-156.90921757044055-109.95898935473141j),(114.86673957008965-26.32826151000463j),(929.065194120402+371.78876605009714j),(-34.787407563165594-70.1318270205011j),(-99.37169083293824+24.429330178431037j),(67.11133573194586+39.62681172638539j),4.800000000000001
(-31.69555603459112-241.30602475379192j),(218.2923971319005+72.76319671198108j),(-416.94294568631597+398.78317780437357j),(-70.26475356411791+62.93859439082156j),(447.4460820611439+198.25257820401754j),(-52.43929048861949+269.36185975330466j),(-238.58017602137852-71.01876910172952j),(266.6714999646701-183.39536394534537j),(-121.52734528468378-37.62383539864522j),(-154.4388086911124+241.80278022541813j),(-533.2125435041684-438.30821145859915j),4.9
(-78.29623419735641-226.1831853591521j),(159.114252849936-24.190630156734752j),(-237.59843757955383+368.5991383797451j),(382.1419204830965-428.60710907971475j),(35.1483118091367-318.13052206961106j),(289.5666451020059-664.9134345133014j),(111.45281654494572+22.554843069004114j),(227.83407816155466+436.3869864949334j),(-70.76115438786756+279.8179161076729j),(19.234315167316176-41.319604186842135j),(45.99715074459388-184.0775188672646j),5.0
(61.90792690799198-452.144902222836j),(-63.415102011356296-278.1451092174425j),(-0.5379154038090022-154.97416159335415j),(-79.73700179049649-76.10059445967232j),(177.02043671912148+167.32204272602547j),(174.812095303227+600.4172469050777j),(161.3970418463096+44.76823322740161j),(96.40513331398314+179.9836209689289j),(-226.5736881750563+209.0100387126081j),(-361.8867388776071-449.3388549852881j),(-553.4500126386292+464.811304021178j),5.1000000000000005
(-441.73478801242726+167.51730510976432j),(88.38180666629009-8.23510566299046j),(610.5338449355361-164.51098925143233j),(320.26058017161085-231.98026076221663j),(-58.28595745389159-382.9856793606997j),(-25.516818006751176+335.10145366320097j),(-2.775206697550633+19.824409113084172j),(462.5629081493451-108.22009913646684j),(-187.4366842924103+208.48913800357025j),(86.9929066739657-166.95340392169905j),(204.7977387328219+90.99938133089731j),5.2
(79.09758635693491+287.2445304103061j),(-444.0899835710254+118.39095818370615j),(150.4610012640246-200.97919242542935j),(-230.73481082178145-217.89676555127727j),(63.798191558237775-8.69313192154599j),(-95.19706687408859+74.81796135865054j),(98.68861555539154+131.28397586794512j),(-597.658340892554-559.4142135985289j),(274.50001178217275+410.67477883578124j),(-169.6884807398713-123.53835501949841j),(-365.83354147512034-302.53795941658984j),5.300000000000001
(137.08268081952139+185.0895266654856j),(-49.495004471012294-100.45497592138102j),(206.43560439479035-159.75410634107203j),(76.50638872779433-262.6405970202049j),(-43.077087761511734+1.56025632937898j),(188.77525807339134+567.3093940502908j),(483.203532539228-115.2616185490242j),(18.56844071766372+506.42886133287436j),(17.775960801021096-100.21412133456366j),(-12.525029976241562+115.06480443425383j),(-323.01501018006024-290.5404566656546j),5.4
(-289.9070943238348-261.29758889449124j),(9.802747677128707-195.48750176910323j),(770.7946819954873-176.4316173404173j),(-400.02713357260444-91.98560374040252j),(192.99081637890632-228.88089086055948j),(329.5427249620112-417.49720785560066j),(-187.98496780688382+502.35063501879677j),(-368.846576055489-344.57526431725444j),(-72.28481301508006+275.3607255875936j),(-222.7098118506425-184.81765132744897j),(-76.98165632371325-374.5924611171365j),5.5
(-313.4592402757843+144.26720802801137j),(45.0472040157355+252.0828644774951j),(-592.8685194888596+547.7128021450363j),(-46.69383766887123+85.33519337596951j),(-33.68514628030768+128.11307764927992j),(170.58776091251877+108.95394711237256j),(-36.56238000678924-98.53284998195599j),(159.76723613776954-305.7032993188568j),(-291.282739150558+277.86570741324j),(-84.17675047492844-63.279177132343634j),(-66.78738677683357-656.3176181430753j),5.6000000000000005
(378.001125996744-6.053269592566636j),(462.55455871823204-439.97162379272527j),(151.19006328283015-48.031920985193025j),(181.16945955005332-155.66107227890137j),(93.38400857082077+214.12152677414974j),(232.9154137390959+296.1894183151651j),(-476.5633283043312+330.21461689624874j),(-821.1199537883916-146.95130855663072j),(152.59070489442996-37.15536918166079j),(79.92987592608938+323.5464916999762j),(-140.53397968881055-355.3066537762062j),5.7
(427.68136699291637-226.608710182874j),(301.89001468613094-340.08833879798j),(-196.48032324159547+145.140282605694j),(-21.823446016313845+77.126606979967j),(-45.80460074195834+113.90364722949712j),(778.2367950276002-325.3215687437389j),(23.267084423246715-460.6027653509301j),(-328.16353707326493+5.385752611469798j),(-52.13956943729226+454.1074014692822j),(-147.60255707533696+149.58850158968139j),(-54.16477176296255+279.9125139581643j),5.800000000000001
(494.583316132631-177.0249006392978j),(329.43166694792774-94.22408040304157j),(636.6058342494374-49.36562116014339j),(86.01731992059955-683.5391813293369j),(221.59231740098554+228.67089222628152j),(586.0796760256786+110.7364878673852j),(-650.1776616672387-478.48081015015316j),(799.8469064000401+208.4081997719327j),(147.9144430542346+199.1143403670457j),(-79.80899200521384+102.86444663552012j),(113.51937729966087-373.81184568432525j),5.9
(372.3616505216718-74.25597952583713j),(31.45446914417066-7505.03371492927j),(521.2086792768866-760.1672570965407j),(53.47612077248097-96.31628248216927j),(283.5044597907456+157.75644082266592j),(151.4488395917695+164.99111232793743j),(16.602803048202077-7717.23027857824j),(206.29543281820958-119.74470728461435j),(2.994140738227891+52.86005070660694j),(69.18047458934946-240.7631897836497j),(27.64403457456209-275.82935400525116j),6.0
(-20.46525604003987-52.755305137828515j),(-599.4486221255497-478.2748015562492j),(-687.2772194277769-200.38646143869565j),(-369.59280944605274+67.70766662724738j),(60.31459090858094-100.73412811705512j),(-134.09802034920122-232.6162477298562j),(-279.0015666976236+32.46956944671816j),(-111.38186366688706-384.7580513750617j),(-70.20534770007325+369.0169719014153j),(-451.8280378098674-126.38980971634852j),(-405.4775316436509+87.9386315488157j),6.1000000000000005
(302.6376077699425+37.12282272358546j),(-583.1686599326416+557.2572394196967j),(562.5071721953129+419.41839982892634j),(-155.91377097702951-287.359472886307j),(113.43029170395182-76.14531153499325j),(23.293283389398894+600.2055902093573j),(29.479241439843847-354.349531451134j),(-37.983945848526545+44.512434460386345j),(-197.648546652245+16.458047859577015j),(228.5835009094477-85.99315166695388j),(67.59726785169411-67.51255245040093j),6.2
(404.93347717572544+163.2837718499713j),(-25.637338268645056+14.579623004465383j),(-595.1439639993531-406.5057384612809j),(380.2160141905406+235.55275302290812j),(15.140559919029169-235.3310607708578j),(-260.4688515900897-153.74705511689723j),(-440.5708281115259-714.2316694853329j),(-750.5340914400872+191.15374414884167j),(163.81045932590973+333.3435046772814j),(320.78296545887684+39.10354649847723j),(-195.39546542837-229.93379331402582j),6.300000000000001
(184.49230006597108+357.07182826426856j),(-683.3570014724536-289.88254766218176j),(-98.94649175902654-369.88078091320773j),(-70.63504342035867+6.156027566321377j),(34.073149663723385-138.76175681617272j),(-372.31741283622057+464.64220894558076j),(-239.64999146083787+208.53222902214813j),(567.3964407643798+277.27773977576885j),(488.38689221246426+2.6456399673574857j),(-76.14671975025279-194.30168197123797j),(-167.2217743356273-348.5135706580611j),6.4
(-223.5524687568188-326.90928012185987j),(-103.55595295017902-903.2179338837966j),(300.64774582814357+683.9959030439763j),(121.66286209223604-263.97969934771015j),(45.174417263516006-261.8309801187773j),(328.7411156274835+52.817752183652914j),(328.1168440874525-450.38935543874175j),(-32.82170300596641+369.8879273420728j),(-49.247612373840106-109.54399886368186j),(-251.36988493156878+367.62284086352753j),(-2.0234920089215898-117.37072847023433j),6.5
